planetlab-02.bu.edu 204.8.155.227
plab1.cs.ust.hk 143.89.49.73
plnode01.cs.mu.oz.au 220.245.140.196
planetlab2.cs.colorado.edu 128.138.207.45
planetlab1-buenosaires.lan.redclara.net 200.0.206.168
planetlab2.williams.edu 137.165.1.112
plewifi.ipv6.lip6.fr 132.227.62.118
planetlab02.tkn.tu-berlin.de 130.149.49.137
planetlab1.cs.stevens-tech.edu 155.246.12.163
planetlab2.pop-rj.rnp.br 200.159.255.80
mtuplanetlab2.cs.mtu.edu 141.219.252.133
planetlab1.scsr.nevada.edu 207.197.40.250
planetlab2.nakao-lab.org 202.237.248.222
planetlab1.ustc.edu.cn 202.141.161.43
planetlab-13.e5.ijs.si 193.138.2.13
planetlab1.cs.uml.edu 129.63.159.101
planetlab02.cs.washington.edu 128.208.4.198
planetlab1.u-strasbg.fr 130.79.48.55
planetlab1.cti.espol.edu.ec 200.126.10.2
pl1.ucs.indiana.edu 156.56.250.226
planetlab4.cnds.jhu.edu 128.220.231.5
planetlab2.plab.ege.edu.tr 155.223.52.3
planet6.cs.ucsb.edu 128.111.52.59
ebb.colgate.edu 149.43.80.20
planetlab1.ifi.uio.no 193.157.115.250
pl1.csl.utoronto.ca 142.150.238.12
planetlab2.cs.uoi.gr 195.130.121.205
planetlab6.cs.duke.edu 152.3.138.6
plnode-04.gpolab.bbn.com 192.1.249.138
planetlab2.rd.tut.fi 193.166.167.5
host4-plb.loria.fr 152.81.47.5
planetlab1.pop-rs.rnp.br 200.132.1.4
pl-node-1.csl.sri.com 192.12.33.102
pl1.uni-rostock.de 139.30.240.191
planetlab1.willab.fi 193.166.160.98
csplanetlab4.kaist.ac.kr 143.248.55.129
metis.mcs.suffolk.edu 192.138.213.238
planetlab0.dojima.wide.ad.jp 203.178.133.10
pln.zju.edu.cn 210.32.133.7
host147-82-static.93-94-b.business.telecomitalia.it 94.93.82.147
planetlab2.ntu.nodes.planet-lab.org 140.112.107.82
planetlab-1.sysu.edu.cn 202.116.81.194
planetlab1.xeno.cl.cam.ac.uk 128.232.103.201
lim-planetlab-1.univ-reunion.fr 194.199.68.165
planetlab-2.ing.unimo.it 155.185.54.250
planetlab3.ucsd.edu 132.239.17.226
ple1.dmcs.p.lodz.pl 212.51.218.235
planetlab1.clemson.edu 130.127.39.152
pl2.planet.cs.kent.edu 131.123.34.36
pub2-s.ane.cmc.osaka-u.ac.jp 133.1.74.163
planetlab1.eurecom.fr 193.55.112.40
planetlab2.urv.cat 193.144.21.131
planetlab2-santiago.lan.redclara.net 200.0.206.203
planetlabtwo.ccs.neu.edu 129.10.120.194
planetlab2.hust.edu.cn 115.156.163.244
146-179.surfsnel.dsl.internl.net 145.99.179.146
planetlab2.cs.ucla.edu 131.179.150.72
earth.cs.brown.edu 192.91.235.229
kupl2.ittc.ku.edu 129.237.161.194
planet2.unipr.it 160.78.253.32
plab1.cs.msu.ru 188.44.50.106
planetlab2.aston.ac.uk 134.151.255.181
planetlab1.tlm.unavarra.es 130.206.158.138
onelab6.iet.unipi.it 131.114.59.242
planetlab-02.kusa.ac.jp 202.244.160.252
planetlab4.cs.st-andrews.ac.uk 138.251.214.78
planetlab2.s3.kth.se 130.237.50.125
planetlab2.informatik.uni-wuerzburg.de 132.187.230.8
planetlab1.ionio.gr 195.130.124.1
mars.planetlab.haw-hamburg.de 141.22.213.35
iraplab1.iralab.uni-karlsruhe.de 193.196.39.9
planetlab-2.research.netlab.hut.fi 195.148.124.74
planetlab1.informatik.uni-goettingen.de 134.76.249.229
planetlab1.ecs.vuw.ac.nz 130.195.4.68
planet2.dsp.ac.cn 210.75.225.62
planetlab2.upm.ro 193.226.19.31
planetlabeu-2.tssg.org 193.1.201.27
planetlab-1.man.poznan.pl 150.254.212.147
planetlab2.cs.purdue.edu 128.10.18.53
planetlab1.di.fct.unl.pt 193.136.124.3
planetlab-03.cs.princeton.edu 128.112.139.97
planetlab-1.tagus.ist.utl.pt 193.136.166.66
planetlab-1.cs.uic.edu 131.193.34.21
planetlab2.cnis.nyit.edu 108.58.13.206
planetlab-2.imag.fr 129.88.70.227
planetlab1.montefiore.ulg.ac.be 139.165.12.211
planet1.servers.ua.pt 193.137.173.217
node1.planetlab.albany.edu 169.226.40.2
planetlab2.unl.edu 129.93.229.139
planetlab1.cqupt.edu.cn 202.202.43.198
lefthand.eecs.harvard.edu 140.247.60.123
planetlab13.millennium.berkeley.edu 169.229.50.15
planetlab1.tamu.edu 165.91.55.8
planetlab2.dit.upm.es 138.4.0.120
plab-1.sinp.msu.ru 213.131.1.101
planetlab1.cs.pitt.edu 192.52.240.213
planetlab3.comp.nus.edu.sg 137.132.80.110
planetlab02.sys.virginia.edu 128.143.6.130
planetslug5.cse.ucsc.edu 128.114.63.64
planetlab-02.ece.uprm.edu 136.145.115.196
planet0.jaist.ac.jp 150.65.32.66
planetlab2.ics.forth.gr 139.91.90.239
plab2-c703.uibk.ac.at 138.232.66.174
