,ec2-ap-northeast-1,ec2-ap-northeast-2,ec2-ap-south-1,ec2-ap-southeast-1,ec2-ap-southeast-2,ec2-ca-central-1,ec2-eu-central-1,ec2-eu-west-1,ec2-eu-west-2,ec2-sa-east-1,ec2-us-east-1,ec2-us-east-2,ec2-us-west-1,ec2-us-west-2
ec2-ap-northeast-1,0,30,135,68,103,140,227,211,226,257,151,132,114,100
ec2-ap-northeast-2,30,0,153,96,132,168,256,229,244,286,170,160,132,118
ec2-ap-south-1,135,153,0,68,236,197,110,120,112,305,184,192,252,262
ec2-ap-southeast-1,68,96,68,0,169,206,266,284,309,323,208,245,195,155
ec2-ap-southeast-2,103,132,236,169,0,232,322,301,293,349,218,208,158,161
ec2-ca-central-1,140,168,197,206,232,0,87,78,76,148,15,24,79,65
ec2-eu-central-1,227,256,110,266,322,87,0,21,17,217,89,98,146,157
ec2-eu-west-1,211,229,120,284,301,78,21,0,11,207,71,80,137,125
ec2-eu-west-2,226,244,112,309,293,76,17,11,0,184,75,86,139,156
ec2-sa-east-1,257,286,305,323,349,148,217,207,184,0,142,154,209,180
ec2-us-east-1,151,170,184,208,218,15,89,71,75,142,0,11,62,81
ec2-us-east-2,132,160,192,245,208,24,98,80,86,154,11,0,51,69
ec2-us-west-1,114,132,252,195,158,79,146,138,139,208,62,51,0,21
ec2-us-west-2,100,118,262,155,161,65,157,125,156,180,81,69,21,0
